Q_MAIN,ANS1,ANS2,ANS3,ANS4,ANS
土地区画整理事業の換地処分に関する次の記述のうち、土地区画整理法の規定によれば、正しいものはどれか。,換地処分は、施行者が換地計画において定められた関係事項を公告してするものとされている。,施行地区内の宅地について存する地役権は、行使する利益がなくなった場合を除き、換地処分に係る公告があった日の翌日以後においても、なお従前の宅地の上に存する。,換地処分に係る公告後、従前の宅地について存した抵当権は消滅するので、換地に移行することはない。,土地区画整理事業の施行により生じた公共施設の用に供する土地は、換地処分に係る公告があった日の翌日において、すべて市町村の管理に属する。,2
土地区画整理法に関する次の記述のうち、正しいものはどれか。,土地区画整理事業の施行地区内においては、土地区画整理法第76条の規定により、一定の建築行為等について、国土交通大臣又は都道府県知事の許可を必要とする規制がなされるが、仮換地における当該建築行為等については、仮換地の換地予定地的な性格にかんがみ、当該規制の対象外となっている。,土地区画整理法による建築行為等の規制に違反して建築された建築物等については、施行者は、事業の施行のため必要となったときは、いつでも移転又は除却をすることができる。,仮換地指定の結果、使用し、又は収益する者のなくなった従前の宅地についても、従前の宅地に関する所有権は残るので、施行者は、土地区画整理事業の工事を行うためには、当該従前の宅地の所有者の同意を得なければならない。,組合施行の土地区画整理事業において、施行地区内の宅地について所有権又は借地権を有する者は、すべてその組合の組合員となるので、当該宅地について事業施行中に組合員から所有権を取得した者は、当該組合の組合員となる。,4
土地区画整理法に関する次の記述のうち、誤っているものはどれか。,土地区画整理組合が総会の議決により解散しようとする場合において、その組合に借入金があるときは、その解散についてその債権者の同意を得なければならない。,土地区画整理組合は、その事業に要する経費に充てるため、賦課金として参加組合員以外の組合員に対して金銭を賦課徴収することができるが、当該組合に対する債権を有する参加組合員以外の組合員は、賦課金の納付について、相殺をもって組合に対抗することができる。,換地処分の公告があった場合においては、換地計画において定められた換地は、その公告があった日の翌日から従前の宅地とみなされるため、従前の宅地について存した抵当権は、換地の上に存続する。,公共施設の用に供している宅地に対しては、換地計画において、その位置、地積等に特別の考慮を払い、換地を定めることができる。,2
土地区画整理法に関する次の記述のうち、正しいものはどれか。,組合施行の土地区画整理事業において、施行地区内の宅地について所有権を有する組合員から当該所有権の一部のみを承継した者は、当該組合の組合員とはならない。,組合施行の土地区画整理事業において、換地処分前に、施行地区内の宅地について所有権を有する組合員から当該所有権を譲り受けた者は、当該組合の総会において賦課金徴収の議決があったときは、賦課金の納付義務を負う。,換地処分は、換地計画に係る区域の全部について土地区画整理事業の工事がすべて完了した後でなければすることができない。,組合施行の土地区画整理事業において、定款に特別の定めがある場合には、換地計画において、保留地の取得を希望する宅地建物取引業者に当該保留地に係る所有権が帰属するよう定めることができる。,2
土地区画整理法における土地区画整理組合に関する次の記述のうち、正しいものはどれか。,土地区画整理組合を設立しようとする者は、事業計画の決定に先立って組合を設立する必要があると認める場合においては、5人以上共同して、定款及び事業基本方針を定め、その組合の設立について都道府県知事の認可を受けることができる。,土地区画整理組合は、当該組合が行う土地区画整理事業に要する経費に充てるため、賦課金として参加組合員以外の組合員に対して金銭を賦課徴収することができるが、その場合、都道府県知事の認可を受けなければならない。,宅地について所有権又は借地権を有する者が設立する土地区画整理組合は、当該権利の目的である宅地を含む一定の区域の土地について土地区画整理事業を施行することができる。,土地区画整理組合の設立の認可の公告があった日から当該組合が行う土地区画整理事業に係る換地処分の公告がある日までは、施行地区内において、事業の施行の障害となるおそれがある土地の形質の変更や建築物の新築等を行おうとする者は、当該組合の許可を受けなければならない。,3
土地区画整理法における仮換地指定に関する次の記述のうち、誤っているものはどれか。,土地区画整理事業の施行者である土地区画整理組合が、施行地区内の宅地について仮換地を指定する場合、あらかじめ、土地区画整理審議会の意見を聴かなければならない。,土地区画整理事業の施行者は、仮換地を指定した場合において、必要があると認めるときは、仮清算金を徴収し、又は交付することができる。,仮換地が指定された場合においては、従前の宅地について権原に基づき使用し、又は収益することができる者は、仮換地の指定の効力発生の日から換地処分の公告がある日まで、仮換地について、従前の宅地について有する権利の内容である使用又は収益と同じ使用又は収益をすることができる。,仮換地の指定を受けた場合、その処分により使用し、又は収益することができる者のなくなった従前の宅地は、当該処分により当該宅地を使用し、又は収益することができる者のなくなった時から、換地処分の公告がある日までは、施行者が管理するものとされている。,1
土地区画整理法に関する次の記述のうち、誤っているものはどれか。,土地区画整理事業の施行者は、換地処分を行う前において、換地計画に基づき換地処分を行うため必要がある場合においては、施行地区内の宅地について仮換地を指定することができる。,仮換地が指定された場合においては、従前の宅地について権原に基づき使用し、又は収益することができる者は、仮換地の指定の効力発生の日から換地処分の公告がある日まで、仮換地について、従前の宅地について有する権利の内容である使用又は収益と同じ使用又は収益をすることができる。,土地区画整理事業の施行者は、施行地区内の宅地について換地処分を行うため、換地計画を定めなければならない。この場合において、当該施行者が土地区画整理組合であるときは、その換地計画について都道府県知事及び市町村長の認可を受けなければならない。,換地処分の公告があった場合においては、換地計画において定められた換地は、その公告があった日の翌日から従前の宅地とみなされ、換地計画において換地を定めなかった従前の宅地について存する権利は、その公告があった日が終了した時において消滅する。,3
土地区画整理法に関する次の記述のうち、誤っているものはどれか。,施行地区の土地についての土地区画整理事業は、都市計画事業として施行されることから、これを土地収用法第３条各号の一に規定する事業に該当するものとみなし、同法の規定を適用する。,宅地について所有権を有する者は、１人で、又は数人共同して、当該権利の目的である宅地及び一定の区域の宅地以外の土地について土地区画整理事業を施行することができる。,宅地について所有権を有する者が設立する土地区画整理組合は、当該権利の目的である宅地を含む一定の区域の土地について土地区画整理事業を施行することができる。,国土交通大臣は、施行区域の土地について、国の利害に重大な関係がある土地区画整理事業で特別の事情により急施を要すると認められるもののうち、国土交通大臣が施行する公共施設に関する工事と併せて施行することが必要であると認められるものについては自ら施行することができる。,1
土地区画整理法に関する次の記述のうち、誤っているものはどれか。,土地区画整理組合の設立の認可の公告があった日後、換地処分の公告がある日までは、施行地区内において、土地区画整理事業の施行の障害となるおそれがある土地の形質の変更を行おうとする者は、当該土地区画整理組合の許可を受けなければならない。,公共施設の用に供している宅地に対しては、換地計画において、その位置、地積等に特別の考慮を払い、換地を定めることができる。,区画整理会社が施行する土地区画整理事業の換地計画においては、土地区画整理事業の施行の費用に充てるため、一定の土地を換地として定めないで、その土地を保留地として定めることができる。,個人施行者は、換地処分を行う前において、換地計画に基づき換地処分を行うため必要がある場合においては、施行地区内の宅地について仮換地を指定することができる。,1
土地区画整理法における土地区画整理組合に関する次の記述のうち、誤っているものはどれか。,土地区画整理組合は、総会の議決により解散しようとする場合において、その解散について、認可権者の認可を受けなければならない。,土地区画整理組合は、土地区画整理事業について都市計画に定められた施行区域外において、土地区画整理事業を施行することはできない。,土地区画整理組合が施行する土地区画整理事業の換地計画においては、土地区画整理事業の施行の費用に充てるため、一定の土地を換地として定めないで、その土地を保留地として定めることができる。,土地区画整理組合が施行する土地区画整理事業に係る施行地区内の宅地について所有権又は借地権を有する者は、すべてその組合の組合員とする。,2
土地区画整理法に関する次の記述のうち、正しいものはどれか。,個人施行者は、規準又は規約に別段の定めがある場合においては、換地計画に係る区域の全部について土地区画整理事業の工事が完了する以前においても換地処分をすることができる。,換地処分は、施行者が換地計画において定められた関係事項を公告して行うものとする。,個人施行者は、換地計画において、保留地を定めようとする場合においては、土地区画整理審議会の同意を得なければならない。,個人施行者は、仮換地を指定しようとする場合においては、あらかじめ、その指定について、従前の宅地の所有者の同意を得なければならないが、仮換地となるべき宅地の所有者の同意を得る必要はない。,1
土地区画整理法に関する次の記述のうち、正しいものはどれか。,施行者は、宅地の所有者の申出又は同意があった場合においては、その宅地を使用し、又は収益することができる権利を有する者に補償をすれば、換地計画において、その宅地の全部又は一部について換地を定めないことができる。,施行者は、施行地区内の宅地について換地処分を行うため、換地計画を定めなければならない。この場合において、当該施行者が土地区画整理組合であるときは、その換地計画について市町村長の認可を受けなければならない。,関係権利者は、換地処分があった旨の公告があった日以降いつでも、施行地区内の土地及び建物に関する登記を行うことができる。,土地区画整理事業の施行により公共施設が設置された場合においては、その公共施設は、換地処分があった旨の公告があった日の翌日において、原則としてその公共施設の所在する市町村の管理に属することになる。,4
宅地造成等規制法に規定する宅地造成工事規制区域（以下この問において「規制区域」という。）に関する次の記述のうち、正しいものはどれか。なお、この問における都道府県知事とは、地方自治法の指定都市等にあっては、それぞれの指定都市等の長をいうものとする。,規制区域内で過去に宅地造成に関する工事が行われ、現在は造成主とは異なる者がその工事が行われた宅地を所有している場合、当該宅地の所有者は災害が生じないよう、その宅地を常時安全な状態に維持するよう努める必要はない。,規制区域内の宅地において行われる切土による土地の形質の変更に関する工事で、当該宅地に高さ1.5ｍのがけが生じ、かつ、その面積が600㎡のときには、造成主は、あらかじめ都道府県知事の許可を受けなければならない。,新たに指定された規制区域内において、指定の前にすでに着手されていた宅地造成に関する工事については、その造成主はその指定があった日から21日以内に、都道府県知事の許可を受けなければならない。,規制区域内の宅地造成に関する工事の検査済証が交付された後、宅地造成に伴う災害防止上の必要性が認められるときは、都道府県知事は宅地の所有者に対して、当該宅地の使用を禁止又は制限をすることができる。,2
宅地造成等規制法に関する次の記述のうち、誤っているものはどれか。なお、この問における都道府県知事とは、地方自治法に基づく指定都市、中核市、特例市にあってはその長をいうものとする。,宅地を宅地以外の土地にするために行う土地の形質の変更は、宅地造成に該当しない。,都道府県知事は、宅地造成工事規制区域内において行われる宅地造成に関する工事についての許可に、当該工事の施行に伴う災害の防止その他良好な都市環境の形成のために必要と認める場合にあっては、条件を付することができる。,宅地以外の土地を宅地にするための切土であって、当該切土を行う土地の面積が400㎡であり、かつ、高さが1m のがけを生ずることとなる土地の形質の変更は、宅地造成に該当しない。,"宅地以外の土地を宅地にするための盛土であって、当該盛土を行う土地の面積が1,000㎡であり、かつ、高さが80㎝のがけを生ずることとなる土地の形質の変更は、宅地造成に該当する。",2
宅地造成等規制法に関する次の記述のうち、正しいものはどれか。なお、この問における都道府県知事とは、地方自治法に基づく指定都市、中核市及び特例市にあってはその長をいうものとする。,国土交通大臣は、都道府県知事の申出に基づき、宅地造成に伴い災害が生ずるおそれの著しい市街地又は市街地となろうとする土地の区域を宅地造成工事規制区域として指定することができる。,宅地造成工事規制区域内において行われる宅地造成に関する工事は、擁壁、排水施設又は消防の用に供する貯水施設の設置その他宅地造成に伴う災害の発生を防止するため必要な措置が講じられたものでなければならない。,造成主は、宅地造成等規制法第8条第1項の許可を受けた宅地造成に関する工事を完了した場合、都道府県知事の検査を受けなければならないが、その前に建築物の建築を行おうとする場合、あらかじめ都道府県知事の同意を得なければならない。,都道府県知事は、宅地造成工事規制区域内の宅地で、宅地造成に伴う災害の防止のため必要な擁壁が設置されていないため、これを放置するときは宅地造成に伴う災害の発生のおそれが著しいものがある場合、一定の限度のもとに当該宅地の所有者以外の者に対しても擁壁の設置のための工事を行うことを命ずることができる。,4
宅地造成等規制法（以下この問において「法」という。）に関する次の記述のうち、誤っているものはどれか。,宅地造成工事規制区域内の宅地において、擁壁に関する工事を行おうとする者は、法第8条第1項の工事の許可を受けなければならない場合を除き、工事に着手する日までに、その旨を都道府県知事に届け出なければならない。,宅地造成工事規制区域内において行われる法第8条第1項の工事が完了した場合、造成主は、都道府県知事の検査を受けなければならない。,都道府県知事は、法第8条第1項の工事の許可の申請があった場合においては、遅滞なく、文書をもって許可又は不許可の処分を申請者に通知しなければならない。,都道府県知事は、宅地造成工事規制区域内の宅地について、宅地造成に伴う災害の防止のため必要があると認める場合においては、宅地の所有者に対し、擁壁の設置等の措置をとることを勧告することができる。,1
宅地造成等規制法に関する次の記述のうち、誤っているものはどれか。なお、この問における都道府県知事とは、地方自治法に基づく指定都市、中核市及び特例市にあってはその長をいうものとする。,都道府県知事は、宅地造成工事規制区域内においても、宅地造成に伴う災害で相当数の居住者に危害を生ずるもの（以下この問において「災害」という。）の発生のおそれが大きい一団の造成宅地の区域を造成宅地防災区域に指定することができる。,都道府県知事は、造成宅地防災区域について、当該区域の指定の事由がなくなったと認めるときは、その指定を解除することができる。,造成宅地防災区域内の造成宅地の所有者等は、災害が生じないよう、その造成宅地について擁壁の設置等の措置を講ずるよう努めなければならない。,都道府県知事は、造成宅地防災区域内の造成宅地について、災害の防止のため必要があると認める場合は、当該造成宅地の所有者等に対し、擁壁の設置等の措置をとることを勧告することができる。,1
宅地造成等規制法に関する次の記述のうち、誤っているものはどれか。なお、この問における都道府県知事とは、地方自治法に基づく指定都市、中核市、特例市にあってはその長をいうものとする。,宅地造成工事規制区域内において、森林を宅地にするために行う切土であって、高さ3ｍのがけを生ずることとなるものに関する工事を行う場合には、造成主は、都市計画法第29条第1項又は第2項の許可を受けて行われる当該許可の内容に適合した工事を除き、工事に着手する前に、都道府県知事の許可を受けなければならない。,宅地造成工事規制区域内の宅地において、高さが3ｍの擁壁の除却工事を行う場合には、宅地造成等規制法に基づく都道府県知事の許可が必要な場合を除き、あらかじめ都道府県知事に届け出なければならず、届出の期限は工事に着手する日の前日までとされている。,都道府県知事又はその命じた者若しくは委任した者は、宅地造成工事規制区域又は造成宅地防災区域の指定のため測量又は調査を行う必要がある場合においては、その必要の限度において、他人の占有する土地に立ち入ることができる。,都道府県知事は、造成宅地防災区域内の造成宅地について、宅地造成に伴う災害で、相当数の居住者その他の者に危害を生ずるものの防止のため必要があると認める場合は、その造成宅地の所有者のみならず、管理者や占有者に対しても、擁壁等の設置等の措置をとることを勧告することができる。,2
宅地造成等規制法に関する次の記述のうち、誤っているものはどれか。なお、この問における都道府県知事とは、地方自治法に基づく指定都市、中核市、特例市にあってはその長をいうものとする。,都道府県知事は、宅地造成工事規制区域内の宅地で宅地造成に伴う災害の防止のため必要な擁壁が設置されておらず、これを放置するときは宅地造成に伴う災害の発生のおそれが大きいと認められるものがある場合、一定の限度のもとに、当該宅地の所有者、管理者又は占有者に対して、擁壁の設置を行うことを命ずることができる。,宅地造成工事規制区域内において、切土であって、当該切土をする土地の面積が400㎡で、かつ、高さ１ｍの崖がけを生ずることとなるものに関する工事を行う場合には、都市計画法第29条第１項又は第２項の許可を受けて行われる当該許可の内容に適合した工事を除き、都道府県知事の許可を受けなければならない。,都道府県は、宅地造成工事規制区域の指定のために行う測量又は調査のため他人の占有する土地に立ち入ったことにより他人に損失を与えた場合においては、その損失を受けた者に対して、通常生ずべき損失を補償しなければならない。,宅地造成工事規制区域内において行われる宅地造成に関する工事について許可をする都道府県知事は、当該許可に、工事の施行に伴う災害を防止するために必要な条件を付することができる。,2
宅地造成等規制法に関する次の記述のうち、誤っているものはどれか。なお、この問における都道府県知事とは、地方自治法に基づく指定都市、中核市及び特例市にあってはその長をいうものとする。,宅地を宅地以外の土地にするために行う土地の形質の変更は、宅地造成に該当しない。,宅地造成工事規制区域内において行われる宅地造成に関する工事は、擁壁、排水施設の設置など、宅地造成に伴う災害を防止するため必要な措置が講ぜられたものでなければならない。,宅地造成工事規制区域内の宅地において、地表水等を排除するための排水施設の除却の工事を行おうとする者は、宅地造成に関する工事の許可を受けた場合を除き、工事に着手する日までに、その旨を都道府県知事に届け出なければならない。,宅地造成工事規制区域内の宅地の所有者、管理者又は占有者は、宅地造成に伴う災害が生じないよう、その宅地を常時安全な状態に維持するように努めなければならない。,3
宅地造成等規制法に関する次の記述のうち、誤っているものはどれか。なお、この問における都道府県知事とは、地方自治法に基づく指定都市、中核市、特例市にあってはその長をいうものとする。,都道府県知事は、造成宅地防災区域について、擁壁等の設置又は改造その他宅地造成に伴う災害の防止のため必要な措置を講ずることにより当該区域の指定の事由がなくなったと認めるときは、その指定を解除するものとする。,都道府県知事は、偽りによって宅地造成工事規制区域内において行われる宅地造成に関する工事の許可を受けた者に対して、その許可を取り消すことができる。,宅地造成工事規制区域内で過去に宅地造成に関する工事が行われ、現在は造成主とは異なる者がその工事が行われた宅地を所有している場合において、当該宅地の所有者は宅地造成に伴う災害が生じないようその宅地を常時安全な状態に維持するよう努めなければならない。,宅地造成工事規制区域外において行われる宅地造成に関する工事については、造成主は、工事に着手する前に都道府県知事に届け出ればよい。,4
宅地造成等規制法に関する次の記述のうち、誤っているものはどれか。なお、この問において「都道府県知事」とは、地方自治法に基づく指定都市、中核市及び特例市にあってはその長をいうものとする。,宅地造成工事規制区域内において行われる宅地造成に関する工事が完了した場合、造成主は、都道府県知事の検査を受けなければならない。,宅地造成工事規制区域内において行われる宅地造成に関する工事について許可をする都道府県知事は、当該許可に、工事の施行に伴う災害を防止するために必要な条件を付することができる。,都道府県知事は、宅地造成工事規制区域内における宅地の所有者、管理者又は占有者に対して、当該宅地又は当該宅地において行われている工事の状況について報告を求めることができる。,都道府県知事は、関係市町村長の意見を聴いて、宅地造成工事規制区域内で、宅地造成に伴う災害で相当数の居住者その他の者に危害を生ずるものの発生のおそれが大きい一団の造成宅地の区域であって一定の基準に該当するものを、造成宅地防災区域として指定することができる。,4
宅地造成等規制法に関する次の記述のうち、誤っているものはどれか。なお、この問において「都道府県知事」とは、地方自治法に基づく指定都市、中核市及び特例市にあってはその長をいうものとする。,宅地造成工事規制区域内において宅地造成に関する工事を行う場合、宅地造成に伴う災害を防止するために行う高さ４ｍの擁壁の設置に係る工事については、政令で定める資格を有する者の設計によらなければならない。,宅地造成工事規制区域内において行われる切土であって、当該切土をする土地の面積が600㎡で、かつ、高さ1.5ｍの崖を生ずることとなるものに関する工事については、都道府県知事の許可が必要である。,宅地造成工事規制区域内において行われる盛土であって、当該盛土をする土地の面積が300㎡で、かつ、高さ1.5ｍの崖を生ずることとなるものに関する工事については、都道府県知事の許可が必要である。,都道府県知事は、宅地造成工事規制区域内の宅地について、宅地造成に伴う災害の防止のため必要があると認める場合においては、その宅地の所有者、管理者、占有者、造成主又は工事施行者に対し、擁壁の設置等の措置をとることを勧告することができる。,1
宅地造成等規制法に関する次の記述のうち、誤っているものはどれか。なお、この問において「都道府県知事」とは、地方自治法に基づく指定都市、中核市及び特例市にあってはその長をいうものとする。,宅地造成工事規制区域内において、宅地を宅地以外の土地にするために行われる切土であって、当該切土をする土地の面積が600㎡で、かつ、高さ3ｍの崖を生ずることとなるものに関する工事については、都道府県知事の許可は必要ない。,都道府県知事は、宅地造成工事規制区域内において行われる宅地造成に関する工事の許可に付した条件に違反した者に対して、その許可を取り消すことができる。,土地の占有者又は所有者は、都道府県知事又はその命じた者若しくは委任した者が、宅地造成工事規制区域の指定のために当該土地に立ち入って測量又は調査を行う場合、正当な理由がない限り、立入りを拒み、又は妨げてはならない。,宅地造成工事規制区域内において行われる宅地造成に関する工事の許可を受けた者は、国土交通省令で定める軽微な変更を除き、当該工事の計画を変更しようとするときは、遅滞なく、その旨を都道府県知事に届け出なければならない。,4
次の記述のうち誤っているものはどれか。,宅地造成等規制法によれば、宅地造成工事規制区域内において行われる宅地造成に関する工事の請負人は、工事に着手する前に、原則として都道府県知事の許可を受けなければならない。,生産緑地法によれば、生産緑地地区内において建築物の新築、改築又は増築を行おうとする者は、原則として市町村長の許可を受けなければならない。,河川法によれば、河川保全区域内において工作物の新築又は改築をしようとする者は、原則として河川管理者の許可を受けなければならない。,流通業務市街地の整備に関する法律によれば、流通業務地区において住宅を建設しようとする者は、原則として都道府県知事の許可を受けなければならない。,1
Ａ所有の都市計画法による市街化区域内の宅地甲地（面積250㎡）を、Ｂが取得した場合における次の記述のうち、正しいものはどれか。,Ｂが甲地を盛土したうえで住宅を建築しようとするときには、都市計画法第29条の許可（開発許可）を受けなければならない。,甲地が都市計画法による第一種住居地域に指定されているときは、建築基準法の規定によると、Ｂは、甲地に住宅の一部を喫茶店（店舗面積150㎡）として使用する建築物を建築することができる。,甲地にＡ所有の住宅が建っているとき、ＢがＡに対してこれを除却するよう求めるためには、民法の規定によると、Ｂは、甲地の所有権移転登記を完了していなければならない。,甲地と公道との間が建築基準法第42条第2項の規定により道路とみなされる私道（敷地はＡ所有）のみにより接続しているときには、Ｂは、甲地に住宅を建築する目的で同法第6条第1項の確認を受けるためには、当該私道の通行についてのＡの承諾を必要とする。,2
次の記述のうち、誤っているのはどれか。,道路法によれば、道路に水管、下水道管、ガス管を設置し、継続して道路を使用する者は、原則として道路管理者の許可を受けなければならない。,宅地造成等規制法によれば宅地造成工事規制区域内において、宅地以外の土地を宅地に転用する者は宅地造成に関する工事を行わない場合でも、原則として都道府県知事の許可を受けなければならない。,都市計画法によれば、都市計画事業の事業地内において、都市計画事業の施行の障害となるおそれがある土地の形質の変更を行う者は、原則として都道府県知事の許可を受けなければならない。,河川法によれば、河川保全区域内において土地の掘さく、盛土又は切土を行う者は、原則として河川管理者の許可を受けなければならない。,2
次の記述のうち、誤っているものはどれか。,土砂災害警戒区域等における土砂災害防止対策の推進に関する法律によれば、土砂災害特別警戒区域内において都市計画法上の一定の開発行為をしようとする者は、原則として市町村長の許可を受けなければならない。,海岸法によれば、海岸保全区域内において土石の採取等の行為をしようとする者は、原則として海岸管理者の許可を受けなければならない。,都市緑地法によれば、特別緑地保全地区内で建築物の新築、改築等の行為をしようとする者は、原則として都道府県知事の許可を受けなければならない。,急傾斜地の崩壊による災害の防止に関する法律によれば、急傾斜地崩壊危険区域内において水を放流し、又は停滞させる等の行為をしようとする者は、原則として都道府県知事の許可を受けなければならない。,1
次の記述のうち、正しいものはどれか。,地すべり等防止法によれば、ぼた山崩壊防止区域内において、土石の採取を行おうとする者は、原則として都道府県知事の許可を受けなければならない。,港湾法によれば、港湾区域内において、港湾の開発に著しく支障を与えるおそれのある一定の行為をしようとする者は、原則として国土交通大臣の許可を受けなければならない。,文化財保護法によれば、史跡名勝天然記念物の保存に重大な影響を及ぼす行為をしようとする者は、原則として市町村長の許可を受けなければならない。,自然公園法によれば、環境大臣が締結した風景地保護協定は、当該協定の公告がなされた後に当該協定の区域内の所有者となった者に対しては、その効力は及ばない。,1
次の記述のうち、正しいものはどれか。,道路法によれば、道路の区域が決定された後、道路の供用が開始されるまでの間であって、道路管理者が当該区域についての権原を取得する前であれば、当該区域内において工作物の新築を行おうとする者は、道路管理者の許可を受けなくてもよい。,土壌汚染対策法によれば、指定区域に指定された際、現に当該指定区域内で既に土地の形質の変更を行っている者は、その指定の日から起算して14日以内に都道府県知事の許可を受けなければ土地の形質の変更を続けてはならない。,都市再開発法によれば、市街地再開発促進区域内において、鉄骨造2階建てで地階を有しない移転の容易な建築物の建築を行おうとする者は、一定の場合を除き、都道府県知事の許可を受けなければならない。,密集市街地における防災街区の整備の促進に関する法律によれば、防災街区整備事業に係る公告があった後においては、当該事業の施行地区内において防災街区整備事業の施行の障害となるおそれがある土地の形質の変更を行おうとする者は、国土交通大臣の許可を受けなければならない。,3
次の記述のうち、誤っているものはどれか。,自然公園法によれば、風景地保護協定は、当該協定の公告がなされた後に当該協定の区域内の土地の所有者となった者に対しても、その効力が及ぶ。,土壌汚染対策法によれば、指定区域が指定された際、当該指定区域内で既に土地の形質の変更に着手している者は、その指定の日から起算して14日以内に、都道府県知事にその旨を届け出なければならない。,密集市街地における防災街区の整備の促進に関する法律によれば、防災再開発促進地区の区域内の一団の土地において、土地の所有者が一者しか存在しなくても、市町村長の認可を受ければ避難経路協定を定めることができ、当該協定はその認可の日から効力を有する。,急傾斜地の崩壊による災害の防止に関する法律によれば、傾斜度が30度以上である土地を急傾斜地といい、急傾斜地崩壊危険区域内において、土石の集積を行おうとする者は、原則として都道府県知事の許可を受けなければならない。,3
次の記述のうち、正しいものはどれか。,地すべり等防止法によれば、地すべり防止区域内において、地表水を放流し、又は停滞させる行為をしようとする者は、一定の場合を除き、市町村長の許可を受けなければならない。,"国土利用計画法によれば、甲県が所有する都市計画区域内の7,000㎡の土地を甲県から買い受けた者は、事後届出を行う必要はない。",土壌汚染対策法によれば、形質変更時要届出区域内において土地の形質の変更をしようとする者は、非常災害のために必要な応急措置として行う行為であっても、都道府県知事に届け出なければならない。,河川法によれば、河川区域内の土地において工作物を新築し、改築し、又は除却しようとする者は、河川管理者と協議をしなければならない。,2
次の記述のうち、誤っているものはどれか。,国土利用計画法によれば、同法第23条の届出に当たっては、土地売買等の対価の額についても都道府県知事（地方自治法に基づく指定都市にあっては、当該指定都市の長）に届け出なければならない。,森林法によれば、保安林において立木を伐採しようとする者は、一定の場合を除き、都道府県知事の許可を受けなければならない。,海岸法によれば、海岸保全区域内において土地の掘削、盛土又は切土を行おうとする者は、一定の場合を除き、海岸管理者の許可を受けなければならない。,都市緑地法によれば、特別緑地保全地区内において建築物の新築、改築又は増築を行おうとする者は、一定の場合を除き、公園管理者の許可を受けなければならない。,4
土地に関する次の記述のうち、誤っているものはどれか。,地すべりは、特定の地質や地質構造を有する地域に集中して分布する傾向が強く、地すべり地形と呼ばれる特有の地形を形成することが多い。,土石流は、急勾配の渓流に多量の不安定な砂礫の堆積がある所や、流域内で豪雨に伴う斜面崩壊の危険性の大きい場合に起こりやすい。,まさ、しらす、山砂、段丘砂礫などの主として砂質土からなるのり面は、地表水による浸食には比較的強いため、簡易な排水施設の設置により安定を図ることが可能である。,丘陵地を切土と盛土により造成した地盤の場合は、その境目では地盤の強度が異なるため、不同沈下が起こりやすい。,3
土地に関する次の記述のうち、誤っているものはどれか。,旧河道でそれを埋める堆積物の上部が厚い粘土質からなるときは、軟弱地盤である可能性が高い。,宅地予定地周辺の擁壁や側溝、道路等にひび割れが見られる場合、地すべりが活動している可能性が高い。,河川近傍の低平地で盛土を施した古い家屋が周辺に多いのは、洪水常習地帯である可能性が高い。,丘陵地帯で地下水位が深く、固結した砂質土で形成された地盤の場合、地震時は液状化する可能性が高い。,4
土地に関する次の記述のうち、誤っているものはどれか。,地形図の上では斜面の等高線の間隔が不ぞろいで大きく乱れているような場所では、過去に崩壊が発生した可能性があることから、注意が必要である。,断層は、ある面を境にして地層が上下又は水平方向にくい違っているものであるが、その周辺では地盤の強度が安定しているため、断層に沿った崩壊、地すべりが発生する危険性は低い。,がけ崩れは、梅雨の時期や台風時の豪雨によって発生することが多く、がけに近接する住宅では日頃から降雨に対する注意が必要である。,地形図を見ると、急傾斜地では等高線の間隔は密になり、傾斜が緩やかな土地では等高線の間隔は疎になっている。,2
土地に関する次の記述のうち、誤っているものはどれか。,旧河道は軟弱で水はけの悪い土が堆積していることが多く、宅地として選定する場合は注意を要する。,切土斜面は、掘削後時間とともに安定化が進むので、切土掘削直後の斜面安定が確認できれば以後は安心である。,建物の基礎の支持力は、粘土地盤よりも砂礫地盤の方が発揮されやすい。,台地は、一般に水はけがよく地盤が安定しているので宅地に適する。,2
造成された宅地及び擁壁に関する次の記述のうち、誤っているものはどれか。,盛土をする場合には、地表水の浸透により、地盤にゆるみ、沈下又は崩壊が生じないように締め固める。,切土又は盛土したがけ面の擁壁は、鉄筋コンクリート造、無筋コンクリート造又は練積み造とする。,擁壁の背面の排水をよくするために、耐水材料での水抜き穴を設け、その周辺には砂利等の透水層を設ける。,造成して平坦にした宅地では、一般に盛土部分に比べて切土部分で地盤沈下量が大きくなる。,4
次の記述のうち、誤っているものはどれか。,山地とは、傾斜が急で、表土の下に岩盤又はその風化土が現れる地盤である。,丘陵・段丘とは、地表面は比較的平坦であり、よく締まった砂礫・硬粘土からなり、地下水位は比較的深い地盤である。,扇状地とは、山地から河川により運ばれてきた砂礫等が堆積し、平坦地になった地盤である。,自然堤防とは、河川からの砂や小礫の供給が少ない場所に形成され、細かい粘性土や泥炭などが堆積した地盤である。,4
